regionID,constellationID,solarSystemID,solarSystemName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,luminosity,border,fringe,corridor,hub,international,regional,constellation,security,factionID,radius,sunTypeID,securityClass
10000001,20000001,30000001,Tanoo,-88510792599980576.0000000000,42369443966878880.0000000000,-44513525346479664.0000000000,-88511903148490592.0000000000,-88509256471760624.0000000000,42369297927489072.0000000000,42369645749263920.0000000000,44513036355892816.0000000000,44514111689782880.0000000000,0.0157500000,1,0,0,1,1,1,0,0.8583240000,500007,1323338364984.0000000000,3802,B
10000001,20000001,30000002,Lashesih,-103300968263126464.0000000000,41707503568269944.0000000000,-29856304129795088.0000000000,-103301565089827664.0000000000,-103299528289840208.0000000000,41707467566727784.0000000000,41707590413426640.0000000000,29856173282506960.0000000000,29856912011988012.0000000000,0.0128200000,1,0,1,0,1,1,0,0.7516890000,500007,1018399993728.0000000000,3798,B
10000001,20000001,30000003,Akpivem,-91174141133075344.0000000000,43938227486247168.0000000000,-56482824383339904.0000000000,-91178287363603456.0000000000,-91173340638605184.0000000000,43938185719395264.0000000000,43938444193380440.0000000000,56481267537910480.0000000000,56483655715390536.0000000000,0.6213000000,1,0,0,1,0,0,0,0.8462920000,500007,2473362499136.0000000000,3799,B
10000001,20000001,30000004,Jark,-93675926352178928.0000000000,50604244962328912.0000000000,-28403529106921656.0000000000,-93677382085044720.0000000000,-93675486150896624.0000000000,50604201734808696.0000000000,50604387914744944.0000000000,28403308300704916.0000000000,28406851125344312.0000000000,0.3461000000,1,0,1,0,1,1,0,0.8170010000,500007,1771412319698.0000000000,6,B
10000001,20000001,30000005,Sasta,-94782157961997600.0000000000,43126247352903336.0000000000,-31896707679917976.0000000000,-94782866241535488.0000000000,-94777738348823664.0000000000,43126190605720824.0000000000,43126597636738808.0000000000,31892607357474004.0000000000,31896947011688972.0000000000,0.0240300000,1,0,0,1,0,0,0,0.8143370000,500007,2563946355912.0000000000,3800,B
10000001,20000001,30000006,Zaid,-84792151138856224.0000000000,52313455798179328.0000000000,-57073934529882272.0000000000,-84793773315320032.0000000000,-84790304431444080.0000000000,52313243548626296.0000000000,52313642323673984.0000000000,57073253488129384.0000000000,57075591223245872.0000000000,0.0232400000,1,0,1,0,0,0,0,0.8642290000,500007,1734441937976.0000000000,7,B
10000001,20000001,30000007,Yuzier,-90367509013110176.0000000000,53447700930943336.0000000000,-49040399037769856.0000000000,-90368455589897712.0000000000,-90365860977341600.0000000000,53447587319198248.0000000000,53447898494476120.0000000000,49039836463312752.0000000000,49040669843782960.0000000000,0.0146900000,0,0,0,1,0,0,0,0.9065560000,500007,1297306278056.0000000000,3800,B
10000001,20000001,30000008,Nirbhi,-91576103536388480.0000000000,57332802739327744.0000000000,-55255057964526304.0000000000,-91579534302267680.0000000000,-91574341925251088.0000000000,57332775890501880.0000000000,57332816522733880.0000000000,55252219447897216.0000000000,55259653044695464.0000000000,0.0398100000,1,0,0,1,0,0,0,0.8821160000,500007,3716798399124.0000000000,3800,B
10000001,20000002,30000009,Sooma,-84094731140215216.0000000000,69205928804160688.0000000000,-75226052138828816.0000000000,-84095782483213088.0000000000,-84092995295928064.0000000000,69205920050711712.0000000000,69205943271846104.0000000000,75225464050781488.0000000000,75229135709334864.0000000000,0.0147900000,0,1,0,0,0,0,0,0.5778190000,500007,1835829276688.0000000000,3800,B1
10000001,20000002,30000010,Chidah,-80588856520120752.0000000000,61645557287376784.0000000000,-79770931668461888.0000000000,-80590207811444224.0000000000,-80584539285184880.0000000000,61645378830638632.0000000000,61646127437224040.0000000000,79769194381150512.0000000000,79772810227654784.0000000000,0.0749800000,0,0,0,1,0,0,0,0.5390520000,500007,2834263129672.0000000000,8,B1
